property_id,neighborhood,property_type,price,area_sqft,bedrooms,bathrooms,age_years
PROP0207,Indiranagar,Apartment,24914673.0,2262.0,4.0,4.0,5.2
PROP0208,HSR Layout,Apartment,9290523.0,864.0,1.0,2.0,6.5
PROP0209,Indiranagar,Apartment,13213537.0,1253.0,2.0,3.0,4.7
PROP0210,Koramangala,Apartment,13474925.0,1058.0,2.0,2.0,14.0
PROP0211,HSR Layout,Apartment,10022847.0,985.0,1.0,1.0,5.9
PROP0212,HSR Layout,Apartment,13194928.0,1280.0,3.0,3.0,2.8
PROP0213, whitefield ,Apartment,17134181.0,2192.0,3.0,4.0,11.2
PROP0214,Jayanagar,Apartment,22409411.0,2405.0,4.0,5.0,8.4
PROP0215,HSR Layout,Independent House,14314335.0,1275.0,2.0,1.0,6.1
PROP0216,Jayanagar,Independent House,23532565.0,2441.0,4.0,3.0,25.3
PROP0217,Indiranagar,Apartment,16575128.0,1468.0,2.0,3.0,14.4
PROP0218,Indiranagar,Apartment,24563780.0,2362.0,4.0,3.0,13.3
PROP0219,Electronic City,Villa,7522604.0,1401.0,2.0,1.0,14.6
PROP0220,Koramangala,Villa,17676426.0,1518.0,2.0,1.0,14.1
PROP0221,Whitefield,Apartment,12647719.0,1640.0,2.0,2.0,8.7
PROP0222,Koramangala,Studio,38484444.0,3103.0,5.0,5.0,5.9
PROP0223,HSR Layout,Apartment,19051758.0,1893.0,3.0,3.0,11.4
PROP0224,Electronic City,Apartment,5665740.0,1082.0,2.0,1.0,8.6
PROP0225,Whitefield,Villa,14336744.0,1954.0,3.0,4.0,1.6
PROP0226,Electronic City,Villa,7509472.0,1262.0,2.0,3.0,4.3
PROP0227,Indiranagar,Independent House,12692986.0,1195.0,2.0,2.0,7.8
PROP0228,Koramangala,Apartment,23165851.0,1922.0,4.0,3.0,19.2
PROP0229,HSR Layout,Apartment,16284594.0,1466.0,3.0,3.0,11.4
PROP0230,Indiranagar,Apartment,17381791.0,1595.0,3.0,4.0,5.1
PROP0231,Indiranagar,Apartment,16803667.0,1457.0,3.0,3.0,4.0
PROP0232,Koramangala,Apartment,19644612.0,1625.0,2.0,1.0,22.0
PROP0233,Electronic City,Apartment,9979549.0,1671.0,3.0,3.0,9.0
PROP0234,HSR Layout,Apartment,4608604.0,443.0,2.0,2.0,0.3
PROP0235,Electronic City,Villa,9375809.0,1797.0,3.0,3.0,9.4
PROP0236,Jayanagar,Apartment,10168256.0,939.0,2.0,2.0,16.5
PROP0237,Koramangala,Apartment,8607815.0,700.0,1.0,1.0,3.9
PROP0238,Jayanagar,Villa,14422129.0,1420.0,3.0,4.0,10.8
PROP0239,Indiranagar,Apartment,15519744.0,1494.0,2.0,2.0,11.5
PROP0240,,Independent House,11817376.0,1089.0,1.0,1.0,4.1
PROP0241,Jayanagar,Apartment,16612678.0,1882.0,3.0,3.0,23.3
PROP0242,Jayanagar,Apartment,8151792.0,752.0,1.0,1.0,11.7
PROP0243,Whitefield,Independent House,9751205.0,1238.0,3.0,2.0,7.7
PROP0244,Koramangala,Apartment,14480223.0,1146.0,2.0,3.0,9.0
PROP0245,HSR Layout,Apartment,15826813.0,1426.0,2.0,1.0,3.4
PROP0246,Electronic City,Villa,10335757.0,1595.0,2.0,2.0,3.3
PROP0247,HSR Layout,Apartment,10180143.0,926.0,1.0,1.0,7.2
PROP0248,Koramangala,Villa,21732599.0,1827.0,3.0,2.0,7.5
PROP0249,,Independent House,11045289.0,1483.0,2.0,1.0,8.6
PROP0250,Koramangala,Independent House,5072900.0,466.0,1.0,2.0,24.7
PROP0251,HSR Layout,Apartment,4823867.0,432.0,1.0,1.0,15.9
PROP0252,Electronic City,Apartment,8761011.0,1444.0,3.0,3.0,1.9
PROP0253,Koramangala,Studio,15713259.0,1335.0,2.0,3.0,21.7
PROP0254, whitefield ,Apartment,10536574.0,1396.0,1.0,1.0,7.1
PROP0255,Whitefield,Apartment,10139219.0,1435.0,3.0,3.0,17.0
PROP0256,Jayanagar,Apartment,15175971.0,1567.0,3.0,3.0,7.6
PROP0257,Jayanagar,Apartment,17423676.0,1943.0,3.0,3.0,11.1
PROP0258,Indiranagar,Apartment,9868814.0,872.0,2.0,1.0,3.6
PROP0259,Indiranagar,Apartment,9254518.0,841.0,1.0,2.0,13.0
PROP0260,HSR Layout,Apartment,10355283.0,881.0,2.0,1.0,18.3
PROP0261,Indiranagar,Apartment,18078833.0,1600.0,2.0,3.0,2.3
PROP0262,Jayanagar,Independent House,,2097.0,4.0,5.0,18.5
PROP0263,Whitefield,Apartment,,1226.0,1.0,1.0,5.9
PROP0264,Indiranagar,Apartment,2578586.0,350.0,1.0,1.0,29.9
PROP0265,Electronic City,Apartment,2547565.0,564.0,2.0,1.0,17.2
PROP0266,Indiranagar,Apartment,11287956.0,1017.0,2.0,3.0,15.2
PROP0267,Whitefield,Independent House,33758766.0,1160.0,2.0,3.0,
PROP0268,Indiranagar,Independent House,12368902.0,1238.0,2.0,3.0,45.0
PROP0269,Indiranagar,Apartment,15277294.0,1470.0,,1.0,7.2
PROP0270,Indiranagar,Apartment,14140116.0,1288.0,3.0,3.0,4.4
PROP0271,Indiranagar,Apartment,20828969.0,1996.0,3.0,2.0,6.1
PROP0272,Whitefield,Apartment,8537655.0,1098.0,1.0,2.0,20.5
PROP0273,Indiranagar,Apartment,10918046.0,1002.0,1.0,1.0,11.0
PROP0274,HSR Layout,Apartment,18609052.0,1699.0,3.0,4.0,9.8
PROP0275,HSR Layout,Apartment,6825258.0,651.0,1.0,2.0,7.2
PROP0276,Koramangala,Apartment,20007049.0,1653.0,2.0,3.0,9.5
PROP0277,Whitefield,Apartment,11518567.0,1503.0,2.0,2.0,6.9
PROP0278,Koramangala,Apartment,15548538.0,1373.0,2.0,2.0,16.2
PROP0279,Electronic City,Apartment,,2276.0,4.0,4.0,8.5
PROP0280,Electronic City,Apartment,7105472.0,1126.0,1.0,,6.2
PROP0281,Indiranagar,Apartment,28858598.0,2521.0,4.0,3.0,19.4
PROP0282,Whitefield,Apartment,9866243.0,1333.0,2.0,2.0,4.5
PROP0283,Whitefield,Apartment,5776936.0,786.0,2.0,3.0,11.1
PROP0284,Whitefield,Apartment,11143009.0,,3.0,3.0,1.6
PROP0285,HSR Layout,Studio,9451011.0,890.0,1.0,2.0,3.0
PROP0286,Koramangala,Independent House,13252941.0,1059.0,2.0,1.0,7.8
PROP0287,Indiranagar,Apartment,17994863.0,1656.0,3.0,3.0,6.8
PROP0288,Whitefield,Apartment,14193594.0,1739.0,3.0,3.0,6.7
PROP0289,Koramangala,Villa,13016104.0,1126.0,1.0,1.0,17.3
PROP0290,Indiranagar,Villa,98269965.0,1963.0,3.0,,18.0
PROP0291,Jayanagar,Apartment,,2052.0,3.0,2.0,12.7
PROP0292,Indiranagar,Apartment,24062089.0,2197.0,3.0,4.0,4.3
PROP0293,Electronic City,Apartment,9979612.0,1725.0,3.0,3.0,9.4
PROP0294,Indiranagar,Apartment,24182732.0,2159.0,4.0,3.0,32.6
PROP0295,Jayanagar,Apartment,3662002.0,472.0,1.0,1.0,42.7
PROP0296,Electronic City,Apartment,7722166.0,1285.0,2.0,1.0,19.5
PROP0297,Electronic City,Apartment,5452337.0,999.0,2.0,3.0,4.5
PROP0298,Jayanagar,Apartment,15702226.0,1512.0,3.0,2.0,9.5
PROP0299,Jayanagar,Apartment,11776780.0,1153.0,2.0,3.0,12.1
PROP0300,HSR Layout,Villa,13413050.0,1364.0,2.0,1.0,10.8
PROP0301,Jayanagar,Apartment,23850908.0,2429.0,3.0,3.0,20.9
PROP0302,Indiranagar,Apartment,14736620.0,1362.0,2.0,1.0,16.8
PROP0303,Koramangala,Apartment,,1665.0,3.0,4.0,4.2
PROP0304,Koramangala,Studio,16886882.0,1329.0,1.0,1.0,6.3
PROP0305,Electronic City,Apartment,9136206.0,1489.0,3.0,3.0,19.5
PROP0306,Koramangala,Apartment,17065078.0,1453.0,3.0,2.0,25.2
PROP0307,Whitefield,Apartment,12843573.0,1683.0,3.0,2.0,12.2
PROP0308,HSR Layout,Studio,20855429.0,2056.0,4.0,3.0,27.2
PROP0309,Whitefield,Studio,17842776.0,2307.0,4.0,5.0,11.2
PROP0310,Indiranagar,Independent House,17752956.0,1611.0,3.0,3.0,4.9
PROP0311,Koramangala,Apartment,20991173.0,1757.0,2.0,2.0,15.8
PROP0312,Koramangala,Apartment,11451298.0,852.0,1.0,1.0,45.0
PROP0313,Whitefield,Apartment,10179762.0,1404.0,3.0,4.0,3.4
PROP0314,Whitefield,Apartment,14640370.0,1939.0,3.0,3.0,26.6
PROP0315,Whitefield,Villa,14261917.0,1900.0,3.0,3.0,15.2
PROP0316,Whitefield,Apartment,13379654.0,1560.0,2.0,1.0,6.0
PROP0317,Whitefield,Apartment,14267565.0,1911.0,3.0,2.0,1.6
PROP0318,HSR Layout,Independent House,17380397.0,1705.0,,2.0,1.0
PROP0319,Whitefield,Apartment,,2074.0,3.0,3.0,6.7
PROP0320,Electronic City,Apartment,9591899.0,1600.0,3.0,2.0,13.5
PROP0321,Electronic City,Apartment,6553961.0,1265.0,2.0,1.0,18.6
PROP0322,Koramangala,Independent House,18820935.0,1625.0,3.0,2.0,21.4
PROP0323,Whitefield,Independent House,1201492.0,350.0,1.0,1.0,12.7
PROP0324,Koramangala,Apartment,20717984.0,1649.0,3.0,4.0,11.4
PROP0325,Jayanagar,Independent House,3008067.0,350.0,1.0,1.0,8.0
PROP0326, hsr layout ,Independent House,4702298.0,554.0,1.0,2.0,13.8
PROP0327,Jayanagar,Studio,17144724.0,1685.0,3.0,3.0,6.0
PROP0328,Koramangala,Independent House,20094137.0,1698.0,3.0,4.0,3.6
PROP0329,HSR Layout,Apartment,9162619.0,846.0,1.0,1.0,10.9
PROP0330,Whitefield,Studio,7612728.0,1080.0,2.0,2.0,17.6
PROP0331,Jayanagar,Apartment,22302623.0,2163.0,,5.0,2.9
PROP0332,Whitefield,Villa,9759382.0,1198.0,2.0,2.0,6.7
PROP0333,HSR Layout,Apartment,25903357.0,2616.0,4.0,5.0,10.6
PROP0334,Electronic City,Villa,7794754.0,1449.0,2.0,1.0,
PROP0335,Indiranagar,Independent House,18621084.0,1662.0,3.0,2.0,14.9
PROP0336,HSR Layout,Apartment,22955396.0,2291.0,4.0,5.0,32.0
PROP0337,Indiranagar,Independent House,16565677.0,1518.0,2.0,1.0,1.0
PROP0338,HSR Layout,Apartment,10517869.0,929.0,2.0,3.0,32.9
PROP0339,Indiranagar,Apartment,13805442.0,1393.0,2.0,3.0,
PROP0340,Electronic City,Apartment,,1431.0,2.0,3.0,18.8
PROP0341,Indiranagar,Studio,8710425.0,740.0,1.0,1.0,12.0
PROP0342,Electronic City,Apartment,8455023.0,1317.0,4.0,5.0,6.1
PROP0343,Jayanagar,Apartment,10026195.0,1064.0,1.0,1.0,18.6
PROP0344,HSR Layout,Apartment,,1931.0,3.0,3.0,12.5
PROP0345,Jayanagar,Apartment,13018187.0,1468.0,2.0,1.0,8.1
PROP0346,Jayanagar,Apartment,11929091.0,1303.0,2.0,3.0,18.3
PROP0347,Electronic City,Independent House,8102401.0,1395.0,2.0,3.0,20.4
PROP0348,Whitefield,Villa,11985203.0,50.0,3.0,4.0,25.1
PROP0349,HSR Layout,Studio,18482368.0,1771.0,3.0,4.0,5.6
PROP0350,Indiranagar,Apartment,10819998.0,930.0,2.0,1.0,23.0
PROP0351,HSR Layout,Independent House,8688853.0,908.0,2.0,1.0,8.2
PROP0352,Whitefield,Apartment,15509577.0,,2.0,3.0,12.1
