property_id,neighborhood,property_type,price,area_sqft,bedrooms,bathrooms,age_years,price_outlier,price_per_sqft,size_band
PROP0037,Indiranagar,Apartment,15922236.0,1441.0,3.0,3.0,13.6,False,11049.435114503816,Large
PROP0038,Koramangala,Apartment,17065078.0,981.0,1.0,2.0,8.4,False,17395.594291539244,Medium
PROP0039,Whitefield,Apartment,9221271.0,1272.0,2.0,2.0,22.9,False,7249.426886792453,Medium
PROP0040,Hsr Layout,Apartment,14383519.0,1408.0,3.0,2.0,10.4,False,10215.56747159091,Large
PROP0041,Koramangala,Villa,7929709.0,563.0,2.0,2.0,14.7,False,14084.740674955596,Small
PROP0042,Jayanagar,Apartment,6629467.0,610.0,1.0,1.0,10.6,False,10867.97868852459,Small
PROP0043,Hsr Layout,Independent House,17967684.0,1701.0,3.0,4.0,19.8,False,10563.012345679012,Large
PROP0044,Whitefield,Apartment,11506834.5,1503.0,1.0,2.0,2.5,False,7655.911177644711,Large
PROP0045,Jayanagar,Apartment,3120323.0,350.0,1.0,2.0,10.0,False,8915.208571428571,Small
PROP0046,Jayanagar,Independent House,13828285.0,1858.0,2.0,3.0,10.9,False,7442.5645855758885,Large
PROP0047,Whitefield,Villa,12554521.0,1592.0,2.0,1.0,17.9,False,7886.005653266332,Large
PROP0048,Whitefield,Apartment,10426635.0,1079.0,2.0,1.0,18.0,False,9663.239110287303,Medium
PROP0049,Hsr Layout,Apartment,7136786.0,765.0,1.0,1.0,8.9,False,9329.13202614379,Small
PROP0050,Indiranagar,Apartment,20056551.0,1885.0,3.0,3.0,8.9,False,10640.080106100795,Large
PROP0051,Whitefield,Apartment,12882240.0,1632.0,3.0,4.0,4.6,False,7893.529411764706,Large
PROP0052,Indiranagar,Apartment,29396998.0,2689.0,5.0,6.0,5.9,True,10932.316102640387,Very Large
PROP0053,Jayanagar,Apartment,17447973.0,1668.0,2.0,2.0,17.0,False,10460.415467625899,Large
PROP0054,Hsr Layout,Apartment,16407722.0,1652.0,3.0,2.0,15.7,False,9932.035108958838,Large
PROP0055,Hsr Layout,Apartment,14805786.0,1363.0,3.0,3.0,11.8,False,10862.645634629494,Medium
PROP0056,Jayanagar,Villa,19182949.0,1485.0,2.0,2.0,1.0,False,12917.810774410775,Large
PROP0057,Koramangala,Studio,22047786.0,1775.0,2.0,1.0,12.9,False,12421.287887323944,Large
PROP0058,Koramangala,Apartment,113500552.5,2101.0,4.0,5.0,27.2,True,54022.15730604474,Large
PROP0059,Indiranagar,Apartment,13879847.0,1179.0,2.0,3.0,4.4,False,11772.558948261238,Medium
PROP0060,Indiranagar,Apartment,14038464.0,1224.0,2.0,2.0,14.3,False,11469.333333333334,Medium
PROP0061,Hsr Layout,Studio,12848155.0,1201.0,3.0,2.0,25.9,False,10697.880932556203,Medium
PROP0062,Koramangala,Villa,23357968.0,1861.0,3.0,4.0,7.6,False,12551.299301450832,Large
PROP0063,Koramangala,Villa,27516252.0,2229.0,4.0,3.0,10.6,False,12344.662180349933,Very Large
PROP0064,Jayanagar,Apartment,11525732.0,1211.0,3.0,3.0,8.6,False,9517.532617671346,Medium
PROP0065,Hsr Layout,Apartment,12699551.0,1229.0,2.0,3.0,27.5,False,10333.239218877135,Medium
PROP0066,Koramangala,Apartment,20172572.0,1613.0,2.0,3.0,0.7,False,12506.24426534408,Large
PROP0067,Koramangala,Apartment,15922279.0,1322.0,2.0,1.0,5.9,False,12044.083963691377,Medium
PROP0068,Whitefield,Villa,14174445.0,1945.0,3.0,3.0,9.6,False,7287.632390745502,Large
PROP0069,Indiranagar,Apartment,3305008.0,1442.0,1.0,1.0,17.4,False,2291.9611650485435,Large
PROP0070,Koramangala,Apartment,12764719.0,1020.0,2.0,1.0,6.9,False,12514.430392156863,Medium
PROP0071,Whitefield,Apartment,8001850.0,1043.0,3.0,3.0,6.3,False,7671.95589645254,Medium
PROP0072,Koramangala,Apartment,4435929.0,350.0,1.0,2.0,16.2,False,12674.082857142857,Small
PROP0073,Electronic City,Apartment,5993223.0,949.0,2.0,2.0,9.9,False,6315.303477344573,Medium
PROP0074,Whitefield,Apartment,7141140.0,974.0,2.0,2.0,16.5,False,7331.7659137577,Medium
PROP0075,Indiranagar,Independent House,15811599.0,1345.0,2.0,1.0,12.8,False,11755.835687732342,Medium
PROP0076,Whitefield,Independent House,15559528.0,2029.0,3.0,2.0,3.8,False,7668.56973878758,Large
PROP0077,Whitefield,Independent House,9767962.0,1323.0,2.0,1.0,8.9,False,7383.191232048375,Medium
PROP0078,Hsr Layout,Villa,9826525.0,914.0,1.0,1.0,15.4,False,10751.121444201313,Medium
PROP0079,Koramangala,Villa,15871951.0,1420.0,3.0,2.0,19.5,False,11177.43028169014,Large
PROP0080,Jayanagar,Apartment,18767690.0,1996.0,4.0,5.0,5.9,False,9402.650300601203,Large
PROP0081,Hsr Layout,Apartment,10555508.0,943.0,2.0,1.0,10.6,False,11193.539766702015,Medium
PROP0082,Koramangala,Apartment,10977756.0,977.0,1.0,1.0,2.2,False,11236.18833162743,Medium
PROP0083,Jayanagar,Apartment,17706008.0,1740.0,3.0,3.0,7.8,False,10175.866666666667,Large
PROP0084,Indiranagar,Apartment,15541540.0,1335.0,2.0,1.0,10.6,False,11641.602996254682,Medium
PROP0085,Indiranagar,Apartment,18689811.0,1787.0,3.0,3.0,10.6,False,10458.763850027979,Large
PROP0086,Indiranagar,Independent House,15978392.0,1443.0,2.0,2.0,2.8,False,11073.036729036729,Large
PROP0087,Hsr Layout,Apartment,18638693.0,1815.0,3.0,2.0,24.2,False,10269.252341597796,Large
PROP0088,Koramangala,Apartment,10909173.0,912.0,1.0,1.0,6.2,False,11961.8125,Medium
PROP0089,Indiranagar,Apartment,16449123.0,1444.0,3.0,4.0,0.8,False,11391.359418282549,Large
PROP0090,Koramangala,Apartment,15971046.0,1340.0,2.0,2.0,8.3,False,11918.69104477612,Medium
PROP0091,Indiranagar,Independent House,8492262.0,818.0,2.0,2.0,7.3,False,10381.738386308069,Medium
PROP0092,Hsr Layout,Apartment,5772121.0,637.0,1.0,1.0,21.4,False,9061.414442700157,Small
PROP0093,Koramangala,Independent House,22499981.0,1807.0,4.0,3.0,6.5,False,12451.566685113448,Large
PROP0094,Whitefield,Studio,9961168.0,1268.0,3.0,2.0,30.9,False,7855.810725552051,Medium
PROP0095,Whitefield,Apartment,6631281.0,918.0,2.0,2.0,20.1,False,7223.617647058823,Medium
PROP0096,Hsr Layout,Apartment,13578292.0,1400.0,2.0,1.0,11.1,False,9698.78,Medium
PROP0097,Whitefield,Apartment,14986841.0,2037.0,2.0,5.0,4.6,False,7357.3102601865485,Large
PROP0098,Indiranagar,Apartment,4051953.0,350.0,1.0,1.0,12.5,False,11577.00857142857,Small
PROP0099,Indiranagar,Apartment,8504238.0,672.0,1.0,1.0,9.3,False,12655.11607142857,Small
PROP0100,Electronic City,Independent House,5981827.0,970.0,2.0,2.0,15.2,False,6166.831958762887,Medium
PROP0101,Electronic City,Apartment,12437385.0,2210.0,4.0,3.0,10.6,False,5627.776018099547,Very Large
PROP0102,Hsr Layout,Independent House,15499168.0,1597.0,3.0,3.0,44.9,False,9705.17720726362,Large
PROP0103,Whitefield,Apartment,13955158.0,1849.0,3.0,4.0,7.2,False,7547.408328826393,Large
PROP0104,Electronic City,Independent House,4809794.0,857.0,2.0,1.0,17.7,False,5612.361726954492,Medium
PROP0105,Jayanagar,Apartment,7697673.0,868.0,2.0,2.0,7.5,False,8868.286866359447,Medium
PROP0106,Indiranagar,Apartment,18446569.0,1442.0,3.0,2.0,5.2,False,12792.350208044383,Large
PROP0107,Koramangala,Apartment,16156976.0,1480.0,1.0,1.0,11.0,False,10916.875675675676,Large
PROP0108,Whitefield,Apartment,13859944.0,1735.0,3.0,2.0,6.4,False,7988.4403458213255,Large
PROP0109,Indiranagar,Studio,14512244.0,1352.0,2.0,2.0,1.5,False,10733.908284023668,Medium
PROP0110,Electronic City,Apartment,9226996.0,1595.0,2.0,2.0,3.2,False,5784.950470219435,Large
PROP0111,Koramangala,Apartment,20302082.0,1532.0,3.0,2.0,3.7,False,13252.011749347259,Large
PROP0112,Whitefield,Apartment,13732920.0,1854.0,4.0,4.0,5.5,False,7407.184466019417,Large
PROP0113,Whitefield,Apartment,13842134.0,1870.0,2.0,4.0,23.8,False,7402.210695187166,Large
PROP0114,Hsr Layout,Apartment,6145110.0,608.0,1.0,2.0,10.4,False,10107.088815789473,Small
PROP0115,Whitefield,Apartment,11506834.5,350.0,1.0,1.0,7.3,False,32876.67,Small
PROP0116,Electronic City,Apartment,11276477.0,1971.0,3.0,3.0,15.3,False,5721.195839675292,Large
PROP0117,Jayanagar,Apartment,19025591.0,2068.0,4.0,5.0,10.5,False,9199.995647969052,Large
PROP0118,Hsr Layout,Apartment,8981070.0,919.0,2.0,1.0,11.9,False,9772.65505984766,Medium
PROP0119,Koramangala,Independent House,6804233.0,483.0,1.0,2.0,8.3,False,14087.438923395444,Small
PROP0120,Hsr Layout,Apartment,15698100.0,1501.0,2.0,2.0,5.0,False,10458.427714856762,Large
PROP0121,Hsr Layout,Villa,20568225.0,1934.0,4.0,3.0,10.0,False,10635.06980351603,Large
PROP0122,Hsr Layout,Apartment,24348878.0,2385.0,4.0,3.0,9.4,False,10209.17316561845,Very Large
PROP0123,Indiranagar,Apartment,18185528.0,1718.0,3.0,3.0,18.0,False,10585.289871944122,Large
PROP0124,Koramangala,Apartment,16459810.0,1257.0,2.0,2.0,10.2,False,13094.518695306284,Medium
PROP0125,Indiranagar,Apartment,10650712.0,986.0,1.0,2.0,5.8,False,10801.939148073023,Medium
PROP0126,Koramangala,Apartment,17828506.0,1456.0,3.0,3.0,5.5,False,12244.853021978022,Large
PROP0127,Whitefield,Apartment,10767230.0,1294.0,2.0,3.0,37.4,False,8320.888717156105,Medium
PROP0128,Indiranagar,Apartment,9622083.0,922.0,1.0,1.0,1.0,False,10436.098698481563,Medium
PROP0129,Indiranagar,Independent House,26407598.0,2515.0,4.0,5.0,22.6,False,10500.038966202783,Very Large
PROP0130,Hsr Layout,Apartment,24289528.0,2378.0,4.0,3.0,12.3,False,10214.267451640033,Very Large
PROP0131,Whitefield,Apartment,15599533.0,2041.0,4.0,3.0,14.4,False,7643.083292503675,Large
PROP0132,Electronic City,Apartment,5895435.0,971.0,2.0,3.0,18.8,False,6071.508753861998,Medium
PROP0133,Hsr Layout,Apartment,21151358.0,1895.0,3.0,4.0,13.2,False,11161.666490765172,Large
PROP0134,Whitefield,Villa,14045402.0,1783.0,3.0,4.0,8.1,False,7877.398766124509,Large
PROP0135,Hsr Layout,Apartment,14544065.0,1680.0,3.0,2.0,29.2,False,8657.181547619048,Large
PROP0136,Indiranagar,Apartment,23125393.0,2100.0,3.0,2.0,10.6,False,11012.091904761905,Large
PROP0137,Electronic City,Apartment,10504300.0,1780.0,4.0,5.0,6.5,False,5901.29213483146,Large
PROP0138,Koramangala,Apartment,22396880.0,1835.0,2.0,2.0,25.3,False,12205.384196185287,Large
PROP0139,Jayanagar,Independent House,17618448.0,1781.0,4.0,3.0,2.0,False,9892.446939921392,Large
PROP0140,Indiranagar,Apartment,17474254.0,1627.0,3.0,4.0,30.3,False,10740.168408113092,Large
PROP0141,Koramangala,Studio,6477626.0,523.0,1.0,2.0,14.9,False,12385.518164435947,Small
PROP0142,Koramangala,Apartment,19017581.0,1493.0,3.0,2.0,1.8,False,12737.830542531816,Large
PROP0143,Electronic City,Independent House,6410711.0,1161.0,2.0,3.0,16.3,False,5521.714900947459,Medium
PROP0144,Hsr Layout,Apartment,7509393.0,784.0,2.0,3.0,7.7,False,9578.307397959185,Small
PROP0145,Koramangala,Apartment,30786284.0,2325.0,4.0,4.0,6.7,True,13241.41247311828,Very Large
PROP0146,Whitefield,Studio,17305059.0,2349.0,4.0,2.0,14.9,False,7366.989782886335,Very Large
PROP0147,Whitefield,Apartment,16352375.0,2157.0,4.0,3.0,11.4,False,7581.073249884098,Large
PROP0148,Koramangala,Apartment,17578817.0,1583.0,3.0,4.0,20.3,False,11104.748578648136,Large
PROP0149,Koramangala,Independent House,26861125.0,2152.0,4.0,5.0,2.3,False,12481.935408921932,Large
PROP0150,Indiranagar,Apartment,14745582.0,1456.0,3.0,4.0,15.8,False,10127.460164835165,Large
PROP0151,Jayanagar,Villa,14439243.0,1555.0,2.0,3.0,13.6,False,9285.686816720257,Large
PROP0152,Electronic City,Villa,5884337.0,881.0,2.0,1.0,17.4,False,6679.156640181612,Medium
PROP0153,Indiranagar,Studio,18280719.0,1656.0,3.0,3.0,7.0,False,11039.08152173913,Large
PROP0154,Koramangala,Independent House,18766858.0,1481.0,3.0,3.0,34.2,False,12671.747467927076,Large
PROP0155,Indiranagar,Apartment,6978769.0,773.0,2.0,3.0,14.5,False,9028.1617076326,Small
PROP0156,Hsr Layout,Apartment,15822695.0,1423.0,2.0,2.0,9.5,False,11119.251581166549,Large
PROP0157,Whitefield,Apartment,10148890.0,1503.0,2.0,2.0,1.2,False,6752.421823020625,Large
PROP0158,Hsr Layout,Apartment,25628094.0,2385.0,4.0,3.0,7.7,False,10745.532075471698,Very Large
PROP0159,Hsr Layout,Studio,19811930.0,1915.0,2.0,3.0,18.0,False,10345.655352480419,Large
PROP0160,Jayanagar,Apartment,14420453.0,1456.0,3.0,3.0,26.0,False,9904.15728021978,Large
PROP0161,Indiranagar,Apartment,16484179.0,1579.0,3.0,2.0,10.6,False,10439.63204559848,Large
PROP0162,Electronic City,Apartment,8235351.0,1473.0,2.0,3.0,28.8,False,5590.869653767821,Large
PROP0163,Whitefield,Apartment,10015582.0,1503.0,1.0,1.0,4.7,False,6663.727212242182,Large
PROP0164,Indiranagar,Independent House,9726669.0,887.0,1.0,1.0,13.9,False,10965.80496054115,Medium
PROP0165,Koramangala,Apartment,16713143.0,1371.0,3.0,2.0,14.2,False,12190.47629467542,Medium
PROP0166,Whitefield,Apartment,6581537.0,1062.0,1.0,1.0,15.9,False,6197.304143126177,Medium
PROP0167,Jayanagar,Studio,8562666.0,800.0,1.0,1.0,10.6,False,10703.3325,Small
PROP0168,Jayanagar,Independent House,16538770.0,1716.0,2.0,3.0,13.4,False,9637.977855477855,Large
PROP0169,Whitefield,Apartment,12553469.0,1653.0,3.0,3.0,4.6,False,7594.3551119177255,Large
PROP0170,Electronic City,Independent House,2698095.0,521.0,2.0,1.0,24.4,False,5178.685220729367,Small
PROP0171,Whitefield,Apartment,10709564.0,1386.0,2.0,1.0,19.4,False,7726.958152958153,Medium
PROP0172,Koramangala,Studio,23343114.0,1968.0,4.0,4.0,13.0,False,11861.338414634147,Large
PROP0173,Whitefield,Apartment,13429143.0,2001.0,4.0,3.0,19.7,False,6711.215892053973,Large
PROP0174,Electronic City,Apartment,11492908.0,1983.0,3.0,4.0,24.9,False,5795.717599596571,Large
PROP0175,Indiranagar,Villa,16219471.0,1470.0,2.0,1.0,15.7,False,11033.653741496599,Large
PROP0176,Indiranagar,Apartment,10643417.0,1011.0,2.0,2.0,36.5,False,10527.61325420376,Medium
PROP0177,Koramangala,Apartment,10268822.0,886.0,2.0,1.0,16.6,False,11590.092550790068,Medium
PROP0178,Electronic City,Apartment,9805656.0,1629.0,3.0,2.0,5.2,False,6019.432780847145,Large
PROP0179,Electronic City,Apartment,8741690.0,1401.0,3.0,2.0,12.6,False,6239.6074232690935,Large
PROP0180,Jayanagar,Apartment,19826738.0,2119.0,4.0,3.0,20.2,False,9356.648419065597,Large
PROP0181,Electronic City,Apartment,11588161.0,2022.0,3.0,2.0,24.9,False,5731.039070227497,Large
PROP0182,Electronic City,Apartment,8831688.0,1381.0,3.0,4.0,11.9,False,6395.139753801593,Medium
PROP0183,Koramangala,Independent House,9685720.0,803.0,1.0,2.0,4.9,False,12061.917808219177,Medium
PROP0184,Whitefield,Independent House,9534595.0,1284.0,3.0,2.0,8.9,False,7425.697040498442,Medium
PROP0185,Jayanagar,Apartment,16549356.0,1563.0,3.0,4.0,3.2,False,10588.19961612284,Large
PROP0186,Indiranagar,Apartment,15035822.5,1345.0,3.0,3.0,17.8,False,11179.050185873606,Medium
PROP0187,Whitefield,Apartment,9087410.0,1149.0,2.0,1.0,10.6,False,7908.973020017406,Medium
PROP0188,Indiranagar,Apartment,17094902.0,1582.0,2.0,1.0,6.0,False,10805.8798988622,Large
PROP0189,Jayanagar,Independent House,10850753.0,1188.0,2.0,2.0,19.0,False,9133.630471380471,Medium
PROP0190,Whitefield,Apartment,7186037.0,1123.0,2.0,2.0,28.4,False,6398.964381121995,Medium
PROP0191,Electronic City,Apartment,10275569.0,1612.0,3.0,2.0,5.9,False,6374.422456575682,Large
PROP0192,Whitefield,Apartment,9858035.0,1241.0,1.0,2.0,11.9,False,7943.622078968574,Medium
PROP0193,Indiranagar,Apartment,17017278.0,1577.0,2.0,3.0,9.1,False,10790.918199112239,Large
PROP0194,Jayanagar,Independent House,15169636.0,1592.0,2.0,2.0,25.7,False,9528.665829145728,Large
PROP0195,Indiranagar,Villa,9754644.0,857.0,1.0,2.0,10.0,False,11382.315052508751,Medium
PROP0196,Whitefield,Apartment,8163647.0,1200.0,2.0,3.0,4.5,False,6803.0391666666665,Medium
PROP0197,Hsr Layout,Apartment,22114016.0,2198.0,4.0,5.0,10.3,False,10060.971792538672,Large
PROP0198,Electronic City,Independent House,4066035.0,846.0,1.0,1.0,22.3,False,4806.187943262411,Medium
PROP0199,Whitefield,Apartment,3931515.0,350.0,1.0,2.0,8.7,False,11232.9,Small
PROP0200,Whitefield,Independent House,4369048.0,482.0,1.0,1.0,6.5,False,9064.414937759337,Small
PROP0201,Jayanagar,Independent House,12516884.0,1485.0,2.0,3.0,9.6,False,8428.878114478115,Large
PROP0202,Electronic City,Apartment,7670321.0,1466.0,3.0,4.0,4.6,False,5232.142564802183,Large
PROP0203,Koramangala,Independent House,17139071.0,1389.0,2.0,1.0,9.1,False,12339.143988480922,Medium
PROP0204,Indiranagar,Apartment,22409749.0,2081.0,3.0,3.0,6.9,False,10768.740509370495,Large
PROP0205,Indiranagar,Villa,2482208.0,350.0,1.0,1.0,40.8,False,7092.022857142857,Small
PROP0206,Whitefield,Apartment,14238783.0,1656.0,3.0,2.0,1.6,False,8598.298913043478,Large
PROP0207,Indiranagar,Apartment,24914673.0,2262.0,4.0,4.0,5.2,False,11014.444297082227,Very Large
PROP0208,Hsr Layout,Apartment,9290523.0,864.0,1.0,2.0,6.5,False,10752.920138888889,Medium
PROP0209,Indiranagar,Apartment,13213537.0,1253.0,2.0,3.0,4.7,False,10545.520351157224,Medium
PROP0210,Koramangala,Apartment,13474925.0,1058.0,2.0,2.0,14.0,False,12736.224007561437,Medium
PROP0211,Hsr Layout,Apartment,10022847.0,985.0,1.0,1.0,5.9,False,10175.479187817258,Medium
PROP0212,Hsr Layout,Apartment,13194928.0,1280.0,3.0,3.0,2.8,False,10308.5375,Medium
PROP0213,Whitefield,Apartment,17134181.0,2192.0,3.0,4.0,11.2,False,7816.688412408759,Large
PROP0214,Jayanagar,Apartment,22409411.0,2405.0,4.0,5.0,8.4,False,9317.842411642412,Very Large
PROP0215,Hsr Layout,Independent House,14314335.0,1275.0,2.0,1.0,6.1,False,11226.929411764706,Medium
PROP0216,Jayanagar,Independent House,23532565.0,2441.0,4.0,3.0,25.3,False,9640.542810323637,Very Large
PROP0217,Indiranagar,Apartment,16575128.0,1468.0,2.0,3.0,14.4,False,11290.959128065395,Large
PROP0218,Indiranagar,Apartment,24563780.0,2362.0,4.0,3.0,13.3,False,10399.568162574089,Very Large
PROP0219,Electronic City,Villa,7522604.0,1401.0,2.0,1.0,14.6,False,5369.453247680229,Large
PROP0220,Koramangala,Villa,17676426.0,1518.0,2.0,1.0,14.1,False,11644.549407114624,Large
PROP0221,Whitefield,Apartment,12647719.0,1640.0,2.0,2.0,8.7,False,7712.023780487805,Large
PROP0222,Koramangala,Studio,38484444.0,3103.0,5.0,5.0,5.9,True,12402.334514985498,Very Large
PROP0223,Hsr Layout,Apartment,19051758.0,1893.0,3.0,3.0,11.4,False,10064.320126782884,Large
PROP0224,Electronic City,Apartment,5665740.0,1082.0,2.0,1.0,8.6,False,5236.358595194085,Medium
PROP0225,Whitefield,Villa,14336744.0,1954.0,3.0,4.0,1.6,False,7337.125895598771,Large
PROP0226,Electronic City,Villa,7509472.0,1262.0,2.0,3.0,4.3,False,5950.45324881141,Medium
PROP0227,Indiranagar,Independent House,12692986.0,1195.0,2.0,2.0,7.8,False,10621.745606694562,Medium
PROP0228,Koramangala,Apartment,23165851.0,1922.0,4.0,3.0,19.2,False,12052.992195629553,Large
PROP0229,Hsr Layout,Apartment,16284594.0,1466.0,3.0,3.0,11.4,False,11108.181446111868,Large
PROP0230,Indiranagar,Apartment,17381791.0,1595.0,3.0,4.0,5.1,False,10897.67460815047,Large
PROP0231,Indiranagar,Apartment,16803667.0,1457.0,3.0,3.0,4.0,False,11533.059025394647,Large
PROP0232,Koramangala,Apartment,19644612.0,1625.0,2.0,1.0,22.0,False,12088.992,Large
PROP0233,Electronic City,Apartment,9979549.0,1671.0,3.0,3.0,9.0,False,5972.201675643328,Large
PROP0234,Hsr Layout,Apartment,4608604.0,443.0,2.0,2.0,0.3,False,10403.169300225734,Small
PROP0235,Electronic City,Villa,9375809.0,1797.0,3.0,3.0,9.4,False,5217.47857540345,Large
PROP0236,Jayanagar,Apartment,10168256.0,939.0,2.0,2.0,16.5,False,10828.813631522897,Medium
PROP0237,Koramangala,Apartment,8607815.0,700.0,1.0,1.0,3.9,False,12296.878571428571,Small
PROP0238,Jayanagar,Villa,14422129.0,1420.0,3.0,4.0,10.8,False,10156.428873239436,Large
PROP0239,Indiranagar,Apartment,15519744.0,1494.0,2.0,2.0,11.5,False,10388.048192771084,Large
PROP0240,Indiranagar,Independent House,11817376.0,1089.0,1.0,1.0,4.1,False,10851.584940312214,Medium
PROP0241,Jayanagar,Apartment,16612678.0,1882.0,3.0,3.0,23.3,False,8827.140276301807,Large
PROP0242,Jayanagar,Apartment,8151792.0,752.0,1.0,1.0,11.7,False,10840.148936170213,Small
PROP0243,Whitefield,Independent House,9751205.0,1238.0,3.0,2.0,7.7,False,7876.57915993538,Medium
PROP0244,Koramangala,Apartment,14480223.0,1146.0,2.0,3.0,9.0,False,12635.447643979058,Medium
PROP0245,Hsr Layout,Apartment,15826813.0,1426.0,2.0,1.0,3.4,False,11098.746844319776,Large
PROP0246,Electronic City,Villa,10335757.0,1595.0,2.0,2.0,3.3,False,6480.098432601881,Large
PROP0247,Hsr Layout,Apartment,10180143.0,926.0,1.0,1.0,7.2,False,10993.67494600432,Medium
PROP0248,Koramangala,Villa,21732599.0,1827.0,3.0,2.0,7.5,False,11895.23754789272,Large
PROP0249,Indiranagar,Independent House,11045289.0,1483.0,2.0,1.0,8.6,False,7447.935940660823,Large
PROP0250,Koramangala,Independent House,5072900.0,466.0,1.0,2.0,24.7,False,10886.051502145923,Small
PROP0251,Hsr Layout,Apartment,4823867.0,432.0,1.0,1.0,15.9,False,11166.358796296296,Small
PROP0252,Electronic City,Apartment,8761011.0,1444.0,3.0,3.0,1.9,False,6067.182132963989,Large
PROP0253,Koramangala,Studio,15713259.0,1335.0,2.0,3.0,21.7,False,11770.231460674157,Medium
PROP0254,Whitefield,Apartment,10536574.0,1396.0,1.0,1.0,7.1,False,7547.689111747851,Medium
PROP0255,Whitefield,Apartment,10139219.0,1435.0,3.0,3.0,17.0,False,7065.657839721254,Large
PROP0256,Jayanagar,Apartment,15175971.0,1567.0,3.0,3.0,7.6,False,9684.729419272495,Large
PROP0257,Jayanagar,Apartment,17423676.0,1943.0,3.0,3.0,11.1,False,8967.409161091096,Large
PROP0258,Indiranagar,Apartment,9868814.0,872.0,2.0,1.0,3.6,False,11317.447247706423,Medium
